64	4	200
80	5	240
96	6	280
112	7	320
128	8	360
144	9	400
160	10	440
176	11	480
192	12	520
208	13	560
224	14	600
240	15	640
256	16	680
272	17	720
288	18	760
304	19	800
320	20	840
336	21	880
352	22	920
368	23	960
384	24	1000
400	25	1040
416	26	1080
432	27	1120
448	28	1160
464	29	1200
480	30	1240
496	31	1280
512	32	1320
528	33	1360
544	34	1400
560	35	1440
576	36	1480
592	37	1520
608	38	1560
624	39	1600
640	40	1640
656	41	1680
672	42	1720
688	43	1760
704	44	1800
720	45	1840
736	46	1880
752	47	1920
768	48	1960
784	49	2000
800	50	2040
816	51	2080
832	52	2120
848	53	2160
864	54	2200
880	55	2240
896	56	2280
912	57	2320
928	58	2360
944	59	2400
960	60	2440
976	61	2480
992	62	2520
1008	63	2560
1024	64	2600
1088	68	2760
1152	72	2920
1216	76	3080
1280	80	3240
1344	84	3400
1408	88	3560
1472	92	3720
1536	96	3880
1600	100	4040
1664	104	4200
1728	108	4360
1792	112	4520
1856	116	4680
1920	120	4840
3776	120	9480
5600	412	14040
