60	4	200
75	5	240
90	6	280
105	7	320
120	8	360
135	9	400
150	10	440
165	11	480
180	12	520
195	13	560
210	14	600
225	15	640
240	16	680
255	17	720
270	18	760
285	19	800
300	20	840
315	21	880
330	22	920
345	23	960
360	24	1000
375	25	1040
390	26	1080
405	27	1120
420	28	1160
435	29	1200
450	30	1240
465	31	1280
480	32	1320
495	33	1360
510	34	1400
525	35	1440
540	36	1480
555	37	1520
570	38	1560
585	39	1600
600	40	1640
615	41	1680
630	42	1720
645	43	1760
660	44	1800
675	45	1840
690	46	1880
705	47	1920
720	48	1960
735	49	2000
750	50	2040
765	51	2080
780	52	2120
795	53	2160
810	54	2200
825	55	2240
840	56	2280
855	57	2320
870	58	2360
885	59	2400
900	60	2440
960	64	2600
1020	68	2760
1080	72	2920
1140	76	3080
1200	80	3240
1260	84	3400
1320	88	3560
1380	92	3720
1440	96	3880
1500	100	4040
1560	104	4200
1620	108	4360
1680	112	4520
1740	116	4680
1800	120	4840
3600	120	9640
5970	440	16000
